id,ingredient_category_id,essential_category_id,has_information,name,created,modified
48,,5,0,"Wine vinegar","0000-00-00 00:00:00","0000-00-00 00:00:00"
49,5,5,1,"Canned tomatoes","0000-00-00 00:00:00","0000-00-00 00:00:00"
50,,5,0,Oregano,"0000-00-00 00:00:00","0000-00-00 00:00:00"
51,,5,0,Sugar,"0000-00-00 00:00:00","0000-00-00 00:00:00"
52,,5,0,Flour,"0000-00-00 00:00:00","0000-00-00 00:00:00"
53,5,5,1,Pasta,"0000-00-00 00:00:00","0000-00-00 00:00:00"
54,,5,0,Rice,"0000-00-00 00:00:00","0000-00-00 00:00:00"
55,,5,0,"Canned tuna fish","0000-00-00 00:00:00","0000-00-00 00:00:00"
56,1,5,1,Anchovies,"0000-00-00 00:00:00","0000-00-00 00:00:00"
57,1,5,1,Capers,"0000-00-00 00:00:00","0000-00-00 00:00:00"
58,,5,0,Potatoes,"0000-00-00 00:00:00","0000-00-00 00:00:00"
59,,5,0,Onions,"0000-00-00 00:00:00","0000-00-00 00:00:00"
60,,5,0,Garlic,"0000-00-00 00:00:00","0000-00-00 00:00:00"
61,,6,0,Shallots,"0000-00-00 00:00:00","0000-00-00 00:00:00"
62,1,6,1,"Aceto balsamico (balsamic vinegar)","0000-00-00 00:00:00","0000-00-00 00:00:00"
63,,6,0,Nutmeg,"0000-00-00 00:00:00","0000-00-00 00:00:00"
64,,6,0,Cloves,"0000-00-00 00:00:00","0000-00-00 00:00:00"
65,,6,0,Cacao,"0000-00-00 00:00:00","0000-00-00 00:00:00"
66,,6,0,"Dark chocolate","0000-00-00 00:00:00","0000-00-00 00:00:00"
67,,6,0,"Potato starch","0000-00-00 00:00:00","0000-00-00 00:00:00"
68,,6,0,"Dried tomatoes","0000-00-00 00:00:00","0000-00-00 00:00:00"
69,,6,0,"Marsala wine","0000-00-00 00:00:00","0000-00-00 00:00:00"
70,,6,0,"Dried beans","0000-00-00 00:00:00","0000-00-00 00:00:00"
71,,6,0,"Dried chickpeas","0000-00-00 00:00:00","0000-00-00 00:00:00"
72,,6,0,"Dried lentils","0000-00-00 00:00:00","0000-00-00 00:00:00"
73,,7,0,"Vanilla beans or vanilla extract","0000-00-00 00:00:00","0000-00-00 00:00:00"
74,,7,0,"Bay leaves","0000-00-00 00:00:00","0000-00-00 00:00:00"
75,,7,0,"Juniper berries","0000-00-00 00:00:00","0000-00-00 00:00:00"
76,,7,0,Cinnamon,"0000-00-00 00:00:00","0000-00-00 00:00:00"
77,,7,0,Cognac,"0000-00-00 00:00:00","0000-00-00 00:00:00"
78,,7,0,"Vin Santo","0000-00-00 00:00:00","0000-00-00 00:00:00"
79,,7,0,Vodka,"0000-00-00 00:00:00","0000-00-00 00:00:00"
80,,7,0,"Italian yeast","0000-00-00 00:00:00","0000-00-00 00:00:00"
81,,7,0,"Brewer's yeast","0000-00-00 00:00:00","0000-00-00 00:00:00"
82,,7,0,"Canned beans","0000-00-00 00:00:00","0000-00-00 00:00:00"
83,,7,0,"Canned peas","0000-00-00 00:00:00","0000-00-00 00:00:00"
84,,7,0,Sottaceti,"0000-00-00 00:00:00","0000-00-00 00:00:00"
85,2,3,1,Pancetta,"0000-00-00 00:00:00","0000-00-00 00:00:00"
86,,3,0,"Sweet peas","0000-00-00 00:00:00","0000-00-00 00:00:00"
87,,3,0,"Asparagus tips","0000-00-00 00:00:00","0000-00-00 00:00:00"
88,,3,0,"Broccoli florets","0000-00-00 00:00:00","0000-00-00 00:00:00"
89,,3,0,"Artichokes hearts","0000-00-00 00:00:00","0000-00-00 00:00:00"
90,3,8,1,"Parmigiano Reggiano","0000-00-00 00:00:00","0000-00-00 00:00:00"
91,3,8,1,Pecorino,"0000-00-00 00:00:00","0000-00-00 00:00:00"
92,,8,0,Lemons,"0000-00-00 00:00:00","0000-00-00 00:00:00"
93,1,9,1,Olives,"0000-00-00 00:00:00","0000-00-00 00:00:00"
94,,9,0,Parsley,"0000-00-00 00:00:00","0000-00-00 00:00:00"
95,,9,0,Rosemary,"0000-00-00 00:00:00","0000-00-00 00:00:00"
96,,9,0,Carrots,"0000-00-00 00:00:00","0000-00-00 00:00:00"
97,,9,0,Celery,"0000-00-00 00:00:00","0000-00-00 00:00:00"
98,,9,0,Eggs,"0000-00-00 00:00:00","0000-00-00 00:00:00"
99,,9,0,Milk,"0000-00-00 00:00:00","0000-00-00 00:00:00"
100,,9,0,"Heavy cream","0000-00-00 00:00:00","0000-00-00 00:00:00"
101,,9,0,Zucchini,"0000-00-00 00:00:00","0000-00-00 00:00:00"
102,4,10,1,Basil,"0000-00-00 00:00:00","0000-00-00 00:00:00"
103,3,10,1,Mozzarella,"0000-00-00 00:00:00","0000-00-00 00:00:00"
104,3,10,1,Ricotta,"0000-00-00 00:00:00","0000-00-00 00:00:00"
105,,10,0,Mint,"0000-00-00 00:00:00","0000-00-00 00:00:00"
106,,10,0,"Bell peppers","0000-00-00 00:00:00","0000-00-00 00:00:00"
109,1,,1,"Olio oliva and olio extra vergine di oliva","0000-00-00 00:00:00","0000-00-00 00:00:00"
110,1,,1,"Aceto di vino (wine vineagar)","0000-00-00 00:00:00","0000-00-00 00:00:00"
112,1,,1,"Peperoncino (Red chili)","0000-00-00 00:00:00","0000-00-00 00:00:00"
116,2,,1,"Prosciutto crudo","0000-00-00 00:00:00","0000-00-00 00:00:00"
117,2,,1,Salame,"0000-00-00 00:00:00","0000-00-00 00:00:00"
118,2,,1,Mortadella,"0000-00-00 00:00:00","0000-00-00 00:00:00"
119,2,,1,Speck,"0000-00-00 00:00:00","0000-00-00 00:00:00"
120,2,,1,Bresaola,"0000-00-00 00:00:00","0000-00-00 00:00:00"
121,2,,1,Salsiccia,"0000-00-00 00:00:00","0000-00-00 00:00:00"
123,2,,1,"Prosciutto cotto","0000-00-00 00:00:00","0000-00-00 00:00:00"
125,3,,1,"Grana padano","0000-00-00 00:00:00","0000-00-00 00:00:00"
129,3,,1,Gorgonzola,"0000-00-00 00:00:00","0000-00-00 00:00:00"
130,3,,1,Taleggio,"0000-00-00 00:00:00","0000-00-00 00:00:00"
131,3,,1,Mascarpone,"0000-00-00 00:00:00","0000-00-00 00:00:00"
132,4,,1,"Cime di rapa","0000-00-00 00:00:00","0000-00-00 00:00:00"
133,4,,1,"Porcini mushrooms","0000-00-00 00:00:00","0000-00-00 00:00:00"
135,4,,1,Radicchio,"0000-00-00 00:00:00","0000-00-00 00:00:00"
137,5,,1,"Riso (rice)","0000-00-00 00:00:00","0000-00-00 00:00:00"
142,,,0,Butter,"0000-00-00 00:00:00","0000-00-00 00:00:00"
139,5,,1,"Pane (Bread)","0000-00-00 00:00:00","0000-00-00 00:00:00"
140,5,,1,"Brodo (Broth or stock)","0000-00-00 00:00:00","0000-00-00 00:00:00"
141,5,,1,Gnocchi,"0000-00-00 00:00:00","0000-00-00 00:00:00"
